"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"AdersA.vac3route","AdersA.vac3route","","","",0,1,"","","","Element {[]} {[]}
","Vac3_Route (-17.34)","Vac3_Route (-17.34)","","","","","","","","","",,,,,"",,,,"AdersA.vac3route",0,1,"",""
"AdersA.vac3site","AdersA.vac3site","","","",0,1,"","","","Element {[]} {[]}
","Vac3_Site (-17.35)","Vac3_Site (-17.35)","","","","","","","","","",,,,,"",,,,"AdersA.vac3site",0,1,"",""
"AdersA.vac3doseinseries","AdersA.vac3doseinseries","","","",0,1,"","","","Element {[]} {[]}
","Vac3_DoseInSeries (-17.36)","Vac3_DoseInSeries (-17.36)","","","","","","","","","",,,,,"",,,,"AdersA.vac3doseinseries",0,1,"",""
"AdersA.vac4typebrand","AdersA.vac4typebrand","","","",0,1,"","","","Element {[]} {[]}
","Vac4_TypeBrand (-17.41)","Vac4_TypeBrand (-17.41)","","","","","","","","","",,,,,"",,,,"AdersA.vac4typebrand",0,1,"",""
"AdersA.vac4mfgr","AdersA.vac4mfgr","","","",0,1,"","","","Element {[]} {[]}
","Vac4_Mfgr (-17.42)","Vac4_Mfgr (-17.42)","","","","","","","","","",,,,,"",,,,"AdersA.vac4mfgr",0,1,"",""
"AdersA.vac4lot","AdersA.vac4lot","","","",0,1,"","","","Element {[]} {[]}
","Vac4_Lot (-17.43)","Vac4_Lot (-17.43)","","","","","","","","","",,,,,"",,,,"AdersA.vac4lot",0,1,"",""
"AdersA.vac4route","AdersA.vac4route","","","",0,1,"","","","Element {[]} {[]}
","Vac4_Route (-17.44)","Vac4_Route (-17.44)","","","","","","","","","",,,,,"",,,,"AdersA.vac4route",0,1,"",""
"AdersA.vac4site","AdersA.vac4site","","","",0,1,"","","","Element {[]} {[]}
","Vac4_Site (-17.45)","Vac4_Site (-17.45)","","","","","","","","","",,,,,"",,,,"AdersA.vac4site",0,1,"",""
"AdersA.vac4doseinseries","AdersA.vac4doseinseries","","","",0,1,"","","","Element {[]} {[]}
","Vac4_DoseInSeries (-17.46)","Vac4_DoseInSeries (-17.46)","","","","","","","","","",,,,,"",,,,"AdersA.vac4doseinseries",0,1,"",""
"AdersA.pvac1typebrand","AdersA.pvac1typebrand","","","",0,1,"","","","Element {[]} {[]}
","PVac1_TypeBrand (-22.11)","PVac1_TypeBrand (-22.11)","","","","","","","","","",,,,,"",,,,"AdersA.pvac1typebrand",0,1,"",""
"AdersA.pvac1mfgr","AdersA.pvac1mfgr","","","",0,1,"","","","Element {[]} {[]}
","PVac1_Mfgr (-22.12)","PVac1_Mfgr (-22.12)","","","","","","","","","",,,,,"",,,,"AdersA.pvac1mfgr",0,1,"",""
"AdersA.pvac1lot","AdersA.pvac1lot","","","",0,1,"","","","Element {[]} {[]}
","PVac1_Lot (-22.13)","PVac1_Lot (-22.13)","","","","","","","","","",,,,,"",,,,"AdersA.pvac1lot",0,1,"",""
"AdersA.pvac1route","AdersA.pvac1route","","","",0,1,"","","","Element {[]} {[]}
","PVac1_Route (-22.14)","PVac1_Route (-22.14)","","","","","","","","","",,,,,"",,,,"AdersA.pvac1route",0,1,"",""
"AdersA.pvac1site","AdersA.pvac1site","","","",0,1,"","","","Element {[]} {[]}
","PVac1_Site (-22.15)","PVac1_Site (-22.15)","","","","","","","","","",,,,,"",,,,"AdersA.pvac1site",0,1,"",""
"AdersA.pvac1doseinseries","AdersA.pvac1doseinseries","","","",0,1,"","","","Element {[]} {[]}
","PVac1_DoseInSeries (-22.16)","PVac1_DoseInSeries (-22.16)","","","","","","","","","",,,,,"",,,,"AdersA.pvac1doseinseries",0,1,"",""
"AdersA.pvac1date","AdersA.pvac1date","","","",0,1,"","","","Element {[]} {[]}
","PVac1_Date (-22.17)","PVac1_Date (-22.17)","","","","","","","","","",,,,,"",,,,"AdersA.pvac1date",0,1,"",""
"AdersA.pvac2typebrand","AdersA.pvac2typebrand","","","",0,1,"","","","Element {[]} {[]}
","PVac2_TypeBrand (-22.21)","PVac2_TypeBrand (-22.21)","","","","","","","","","",,,,,"",,,,"AdersA.pvac2typebrand",0,1,"",""
"AdersA.pvac2mfgr","AdersA.pvac2mfgr","","","",0,1,"","","","Element {[]} {[]}
","PVac2_Mfgr (-22.22)","PVac2_Mfgr (-22.22)","","","","","","","","","",,,,,"",,,,"AdersA.pvac2mfgr",0,1,"",""
"AdersA.pvac2lot","AdersA.pvac2lot","","","",0,1,"","","","Element {[]} {[]}
","PVac2_Lot (-22.23)","PVac2_Lot (-22.23)","","","","","","","","","",,,,,"",,,,"AdersA.pvac2lot",0,1,"",""
"AdersA.pvac2route","AdersA.pvac2route","","","",0,1,"","","","Element {[]} {[]}
","PVac2_Route (-22.24)","PVac2_Route (-22.24)","","","","","","","","","",,,,,"",,,,"AdersA.pvac2route",0,1,"",""
"AdersA.pvac2site","AdersA.pvac2site","","","",0,1,"","","","Element {[]} {[]}
","PVac2_Site (-22.25)","PVac2_Site (-22.25)","","","","","","","","","",,,,,"",,,,"AdersA.pvac2site",0,1,"",""
"AdersA.pvac2doseinseries","AdersA.pvac2doseinseries","","","",0,1,"","","","Element {[]} {[]}
","PVac2_DoseInSeries (-22.26)","PVac2_DoseInSeries (-22.26)","","","","","","","","","",,,,,"",,,,"AdersA.pvac2doseinseries",0,1,"",""
"AdersA.pvac2date","AdersA.pvac2date","","","",0,1,"","","","Element {[]} {[]}
","PVac2_Date (-22.27)","PVac2_Date (-22.27)","","","","","","","","","",,,,,"",,,,"AdersA.pvac2date",0,1,"",""
"AdersA.pvac3typebrand","AdersA.pvac3typebrand","","","",0,1,"","","","Element {[]} {[]}
","PVac3_TypeBrand (-22.31)","PVac3_TypeBrand (-22.31)","","","","","","","","","",,,,,"",,,,"AdersA.pvac3typebrand",0,1,"",""
"AdersA.pvac3mfgr","AdersA.pvac3mfgr","","","",0,1,"","","","Element {[]} {[]}
","PVac3_Mfgr (-22.32)","PVac3_Mfgr (-22.32)","","","","","","","","","",,,,,"",,,,"AdersA.pvac3mfgr",0,1,"",""
"AdersA.pvac3lot","AdersA.pvac3lot","","","",0,1,"","","","Element {[]} {[]}
","PVac3_Lot (-22.33)","PVac3_Lot (-22.33)","","","","","","","","","",,,,,"",,,,"AdersA.pvac3lot",0,1,"",""
"AdersA.pvac3route","AdersA.pvac3route","","","",0,1,"","","","Element {[]} {[]}
","PVac3_Route (-22.34)","PVac3_Route (-22.34)","","","","","","","","","",,,,,"",,,,"AdersA.pvac3route",0,1,"",""
